,acc.date,type,reg,operator,fat,location,dmg
128,20 Aug 2022,Beechcraft 99,N399TS,PACC Air,0,"Oshkosh-Wittman Field, WI (OSH)",sub
129,29 Aug 2022,Boeing 717-2BD,N946AT,Delta Air Lines,0,"E of Detroit, MI",non
130,30 Aug 2022,Cessna 208B Grand Caravan EX,PK-SNW,Smart Cakrawala Aviation,0,Sinak Airport (NKD),sub
131,31 Aug 2022,Cessna 208B Grand Caravan EX,N208JM,Private,0,ca 1 km S of Abu Dhabi-Bateen Airport (AZI),w/o
132,1 Sep 2022,Boeing 737-824 (WL),N76529,United Airlines,0,"Denver International Airport, CO (DEN/KDEN)",non
133,2 Sep 2022,Airbus A320-251N,CS-TVI,TAP Air Portugal,0+2,Conakry-Gbessia International Airport (CKY),sub
134,2 Sep 2022,Antonov An-2R,RA-56534,2nd Arkhangelsk United Aviation Division,0,Nes,sub
135,3 Sep 2022,Shorts SC.7 Skyvan 3M-400,SP-HIP,SkyForce,2,2 km SSW of Piotrków Trybunalski-Bujny Airport,w/o
136,4 Sep 2022,Airbus A220-100,N113DQ,Delta Air Lines,0,"near New York-La Guardia Airport, NY (LGA/KLGA)",non
137,4 Sep 2022,Boeing 777-F1H,D-AALU,AeroLogic,0,Frankfurt International Airport (FRA/EDDF),non
138,4 Sep 2022,de Havilland Canada DHC-3T Turbine Otter,N725TH,Friday Harbor Seaplane Tours,10,"3 km SW off Freeland, WA",w/o
139,4 Sep 2022,Cessna 551 Citation II/SP,OE-FGR,GG Rent,4,37 km NW off Ventspils (Baltic Sea),w/o
140,7 Sep 2022,Cessna 750 Citation X,N15TZ,"BVS, Inc",0,"Phoenix-Mesa Gateway Airport, AZ (AZA)",sub
141,9 Sep 2022,Learjet 36,N26FN,Strategic Airborne Operations,0,"San Diego-North Island NAS, CA (NZY)",sub
142,9 Sep 2022,Cirrus SF50 Vision Jet,N77VJ,TAC9 Inc.,0,"10 km SSW of Kissimmee Gateway Airport, FL (ISM)",sub
143,10 Sep 2022,Antonov An-28,9S-GAX,TRACEP-Congo Aviation,3,13 km W of Bukavu-Kavumu Airport (BKY),w/o
144,10 Sep 2022,Cessna 208B Grand Caravan,PT-MES,Piquiatuba Táxi Aéreo,1,"near Porto Trombetas, PA",w/o
145,15 Sep 2022,Fairchild SA227-AC Metro III,XA-UMW,Aeronaves TSM,0,near Ramos Arizpe,sub
146,19 Sep 2022,Beechcraft 1900C-1,TN-AIQ,Equaflight Services,0,Pointe-Noire Agostinho-Neto International Airport (PNR),sub
147,20 Sep 2022,Dassault Falcon 2000,ZS-PKR,Pepkor Group,0,Pietermaritzburg Airport (PZB),sub
148,20 Sep 2022,Cessna 525B CitationJet CJ3,N528DV,Pacific Cataract & Laser Institute Inc Pc,0,"Pasco-Tri-Cities Airport, WA (PSC)",w/o
149,20 Sep 2022,British Aerospace 3201 Jetstream 32EP,OB-2152,SAETA Peru,1,El Estrecho Airport (SPEE),sub
150,21 Sep 2022,Britten Norman BN-2A-8 Islander,8R-GGT,Jags Aviation,0,Eteringbang Airport (SYET),sub
151,21 Sep 2022,Rockwell Sabreliner 65,XB-RXG,private,0,within Zulia,w/o
152,22 Sep 2022,Boeing 737-8HC (WL),TC-SOG,SunExpress,0,Köln/Bonn-Konrad Adenauer Airport (CGN/EDDK),sub
153,22 Sep 2022,Antonov An-2R,ST-AUE,Crop Protection Company,0,"Yassin, east Darfur",sub
154,24 Sep 2022,Boeing 737-436 (SF),EC-NLS,"Swiftair, opf West Atlantic (UK)",0,Montpellier-Méditerranée Airport (MPL),sub
155,25 Sep 2022,Boeing 737-8V3 (WL),HP-1539CMP,Copa Airlines,0,Panama City-Tocumen International Airport (PTY),sub
156,25 Sep 2022,Fokker 50,5Y-FAI,Freedom Airline Express,0,Nairobi-Jomo Kenyatta International Airport (NBO/HKJK),sub
157,27 Sep 2022,Cessna 550 Citation II,N409ST,ABS Equipment Leasing,0,"Waco-McGregor Executive Airport, TX (KPWG)",sub
158,28 Sep 2022,Boeing 757-256 (WL),TF-FIK,Icelandair Flugfélag Islands,0,London-Heathrow Airport (LHR),sub
159,28 Sep 2022,Boeing 777-3B5ER,HL7782,Korean Air,0,London-Heathrow Airport (LHR),sub
160,29 Sep 2022,Boeing 737-7CT (WL),N7881A,Southwest Airlines,0,"Denver International Airport, CO (DEN/KDEN)",non
161,1 Oct 2022,Boeing 737-8GJ (WL),F-GZHA,Transavia France,0,Nantes Atlantique Airport (NTE),sub
162,3 Oct 2022,Boeing 737-8Q3 (WL),JA07RK,Japan Transocean Air,0,near Miho Airport,non
163,3 Oct 2022,Embraer EMB-545 Legacy 450,N179SP,Partee Aviation LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",sub
164,3 Oct 2022,Britten-Norman BN-2A-21 Islander,VH-WQA,Torres Strait Air,0,"Moa Island, Torres Strait",sub
165,5 Oct 2022,ATR 42-500,SX-EIT,Sky Express,0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV),sub
166,12 Oct 2022,Honda HA-420 HondaJet,N704JT,Jupiter Aviation LLC,0,"West Michigan Regional Airport (BIV/KBIV), Holland, MI",sub
167,13 Oct 2022,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FDDX,True North Airways,0,"Lac PLuto, QC",w/o
168,13 Oct 2022,Cessna 208B Grand Caravan,OB-2228,SAETA Peru,0,near Jeberos,w/o
169,16 Oct 2022,Cirrus SF50 Vision Jet G2,HK-5342G,Panamerican Training Center - PTC,0+1,Santa Marta-Simón Bolívar Airport (SMR),sub
170,18 Oct 2022,Beechcraft 99 Airliner,C6-OFM,Flamingo Air Charter,0,Black Point Airstrip (MYEB),sub
171,19 Oct 2022,de Havilland Canada DHC-8-314 Dash 8,C-GJYZ,Perimeter Aviation,0,"Sandy Lake Airport, ON (ZSJ)",sub
172,22 Oct 2022,Boeing 737-8AS (WL),EI-EKJ,Ryanair,0,Agadir-Al Massira International Airport (AGA/GMAA),non
173,23 Oct 2022,Airbus A330-322,HL7525,Korean Air,0,Mactan-Cebu International Airport (CEB),sub
174,25 Oct 2022,Cessna 208B Grand Caravan,PK-RVA,Reven Global Transpor,0,Ilaga Airport (ILA/WABL),sub
175,27 Oct 2022,Canadair CL-215-6B11 (CL-415),I-DPCN,Vigili del Fuoco,2,"near Linguaglossa, Sicily",w/o
176,28 Oct 2022,Embraer EMB-110C Bandeirante,FAU-583,Fuerza Aérea Uruguaya - FAU,0,Montevideo-Carrasco Airport (MVD),sub
177,2 Nov 2022,Airbus A319-132,N519NK,Spirit Airlines,0,"near New Orleans, LA",non
178,3 Nov 2022,Eclipse 550,N150NE,Elite Flight Travel,0,"Mesa-Falcon Field, AZ (MSC)",sub
179,3 Nov 2022,Let L-410UVP-E20,9S-GPK,Goma Express,3,c 115 km ESE of Kasese,w/o
180,6 Nov 2022,Cessna 208B Grand Caravan,AMB 0956,Aviación Militar Bolivariana,5,3 km from Puerto Ayacucho Airport (PYH),w/o
181,6 Nov 2022,ATR 42-500,5H-PWF,Precision Air,19,off Bukoba Airport (BKZ),sub
182,7 Nov 2022,ATR 72-600 (72-212A),JA06JC,Japan Air Commuter,0,Kagoshima Airport (KOJ/RJFK),non
183,9 Nov 2022,Boeing 737-7H4 (WL),N963WN,Southwest Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
184,9 Nov 2022,Boeing 737-823 (WL),N909NN,American Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
185,10 Nov 2022,Boeing 737 MAX 8,N316SE,American Airlines,0,"SE of Miami, FL",non
186,12 Nov 2022,Boeing B-17G Flying Fortress,N7227C,American Airpower Heritage Museum,5+1,"Dallas Executive Airport, TX (RBD/KRBD)",w/o
187,14 Nov 2022,Antonov An-2,CU-A1885,Risk Mondial Aviation & Recovery,0,"W of Miami-Dade County, FL",sub
188,15 Nov 2022,Honda HA-420 HondaJet,N789RJ,Andersen Air LLC,0,"Salt Lake City International Airport, UT (SLC)",sub
189,15 Nov 2022,Fairchild SA227-AT Expediter,N247DH,Ameriflight,0,"Pewaukee, WI",sub
190,17 Nov 2022,Embraer EMB-110P1 Bandeirante,C6-CAB,LeAir Charter Services,0,Nassau-Lynden Pindling International Airport (NAS/MYNN),min
191,17 Nov 2022,Beechcraft 1900D,VH-NYA,Penjet Pty Ltd,0,"Fortnum Airport (YFOR), Fortnum, WA",sub
192,18 Nov 2022,Airbus A320-271N,CC-BHB,LATAM Perú,0+2,Lima-Jorge Chávez International Airport (LIM),w/o
193,18 Nov 2022,Cessna 208B Grand Caravan EX,N2069B,Raisbeck Engineering,4,"near Snohomish, WA",w/o
194,19 Nov 2022,Airbus A320-211,N330NW,Delta Air Lines,0,"near Omaha-Eppley Airfield (OMA/KOMA), Omaha, NE",sub
195,20 Nov 2022,Boeing 737-4Q8 (SF),TF-BBM,"Bluebird Cargo, opf ASL Airlines Belgium",0,Paris-Charles de Gaulle Airport (CDG),sub
196,25 Nov 2022,Cirrus SF50 Vision Jet G2,N15VJ,Verijet,0,"1,6 km SW of Indianapolis Regional Airport, IN",sub
197,28 Nov 2022,Airbus A330-243,PR-AIY,Azul Linhas Aéreas Brasileiras,0,"near Manaus, AM",non
198,29 Nov 2022,Boeing 737-7H4 (WL),N946WN,Southwest Airlines,0,"near Denver, CO",non
199,29 Nov 2022,Learjet 45,N988MC,Jett Aircraft,0,"Batesville Regional Airport, AR (BVX)",sub
200,30 Nov 2022,Learjet 36,N12FN,Aery Aviation,0,"Newport News/Williamsburg International Airport, VA (PHF)",sub
201,1 Dec 2022,Learjet 35A,N979RF,"REVA, Inc.",0,Guantánamo Naval Air Station (NBW),sub
202,3 Dec 2022,Embraer ERJ-175LR,N85356,Mesa Airlines,0,"Taneytown, MD",non
203,7 Dec 2022,British Aerospace BAe-146-200,CC-ACO,Antarctic Airways,0,Iquique-Diego Aracena International Airport (IQQ/SCDA),sub
204,8 Dec 2022,Boeing 767-322ER (WL),N649UA,United Airlines,0,"near Albany, NJ",non
205,15 Dec 2022,Swearingen SA226-TC Metro II,N398KL,Key Lime Air,0,"Wichita Dwight D. Eisenhower National Airport, KS (ICT)",sub
206,17 Dec 2022,de Havilland Canada DHC-8-402QPF Dash 8,5Y-VVY,Blue Bird Aviation,0,Abudwak Airstrip,sub
207,18 Dec 2022,Airbus A330-243,N393HA,Hawaiian Airlines,0,"65 nm NNE of Maui, HI",min
208,18 Dec 2022,Boeing 737-824 (WL),N87531,United Airlines,0,"near Cobán, Alta Verapaz",non
209,22 Dec 2022,Boeing 787-9 Dreamliner,C-FVNF,Air Canada,0,45 nm E of Tokyo-Narita Airport (NRT/RJAA),unk
210,23 Dec 2022,de Havilland Canada DHC-6 Twin Otter 300,PK-OTY,Rimbun Air,0,Moanemani Airport (ONI),sub
211,24 Dec 2022,Gulfstream GIV-X (G450),N456FX,Flexjet LLC,0,"Miami, Florida",non
212,26 Dec 2022,Boeing 737-860 (WL),ET-APL,Ethiopian Airlines,0,Mogadishu Aden Adde International Airport (MGQ/HCMM),sub
213,26 Dec 2022,Boeing 737 MAX 8-200,EI-HEY,Ryanair,0,Bremen Airport (BRE/EDDW),non
214,26 Dec 2022,Boeing 737-3Z0,C5-MAB,"Tarco Aviation, lsf Mid Africa Aviation",0,Mogadishu Aden Adde International Airport (MGQ),sub
215,27 Dec 2022,Embraer EMB-505 Phenom 300,N16DF,Skystallion LLC,0,"Hawthorne Airport, CA (HHR)",sub
216,30 Dec 2022,Canadair CL-600S Challenger 600,XB-SGV,private,2,near Venado,w/o
217,31 Dec 2022,Embraer ERJ-175LR (ERJ-170-200 LR),N264NN,"American Eagle, opb Envoy Air",0+1,"Montgomery Regional Airport (MGM/KMGM), Montgomery, AL",min
218,31 Dec 2022,Cessna 208B Grand Caravan,5X-GBR,BAR Aviation,0,Mweya Airport (HUMW),w/o
219,2 Jan 2021,Beechcraft 200 Super King Air,N831WP,"Vagus Group, Inc.",0,"White Plains-Westchester County Airport, NY (HPN)",min
220,2 Jan 2021,Learjet 31A,PP-BBV,Brasil Vida Táxi Aéreo,0,"Diamantina Airport, MG (DTI)",sub
221,9 Jan 2021,Cessna 560 Citation V,N3RB,SX Transport LLC,1,"23 km SE of Pine Grove, OR",w/o
222,9 Jan 2021,Boeing 737-524 (WL),PK-CLC,Sriwijaya Air,62,19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK),w/o
223,12 Jan 2021,Harbin Y-12-II,,Kenya Air Force - KAF,4,ca 10 km N of Voi,w/o
224,17 Jan 2021,Boeing 777-31HER,A6-EPN,Emirates,0,Nicosia FIR,non
225,19 Jan 2021,Avro RJ85,G-JOTR,Jota Aviation,0,London-Biggin Hill Airport (BQH),sub
226,19 Jan 2021,Boeing 737-4Q8 (SF),G-JMCY,West Atlantic UK,0,Exeter Airport (EXT/EGTE),sub
227,23 Jan 2021,Canadair CL-600 Challenger 600,N275JP,Global Avionics LLC,0,Los Mochis-Federal Airport (LMM),unk
228,23 Jan 2021,North American Rockwell Sabreliner 60,XB-JMR,Aviacion Ejecutiva del Bajio,0,"Rocky Point, Clarendon",sub
229,24 Jan 2021,Raytheon Beechjet 400A,N476BJ,Martinair Inc.,0,"Binghamton Airport, NY (BGM)",sub
230,26 Jan 2021,Harbin Y-12E,AF-222,Zambian Air Force,0,Mukinge Mission Airstrip,sub
231,28 Jan 2021,Beechcraft B300 King Air 350,N217US,MM-Air LLC,0,"Davenport Airport, IA (DVN)",sub
232,29 Jan 2021,Beechcraft 100 King Air,,private,0,"Crooked Tree, Orange Walk",w/o
233,xx Jan 2021,Antonov An-2,,Korean People's Army Air and Anti-Air Force (KPAAF),5,near Taechon Air Base,w/o
234,1 Feb 2021,Boeing 747-8KZF,JA13KZ,Nippon Cargo Airlines,0,Tokyo-Narita International Airport (NRT/RJAA),sub
235,8 Feb 2021,Airbus A320-271N,N918NK,Spirit Airlines,0,"Fort Lauderdale, Florida",non
236,8 Feb 2021,Embraer EMB-500 Phenom 100,9H-FAM,Luxwing,0,Paris-Le Bourget Airport (LBG),sub
237,9 Feb 2021,Antonov An-12BK,RF-95416,Russian Air Force,0,Iturup Airport (ITU),sub
238,10 Feb 2021,Airbus A320-214 (WL),HZ-FAB,Flyadeal,0,Abha International Airport (OHB),sub
239,13 Feb 2021,Dassault Falcon 900EX EASy,N823RC,Aerospike Iron LLC,0,"San Diego-Montgomery-Gibbs Executive Airport, CA (MYF)",sub
240,14 Feb 2021,de Havilland Canada DHC-6 Twin Otter 300,8Q-RAE,Manta Air,0,Malé-Velana International Airport (MLE),sub
241,15 Feb 2021,de Havilland Canada DHC-6 Twin Otter 300,F-RACA,Armée de l'air et de l'espace,0,Blois-Le-Breuil airfield (LFOQ),sub
242,18 Feb 2021,Learjet 55C,N559RA,Royal Air Freight,0,"Jeffersonville-Clark Regional Airport, IN (JVY)",sub
243,20 Feb 2021,Boeing 737-86N (WL),VT-GHE,Air India Express,0,Vijayawada Airport (VGA),sub
244,20 Feb 2021,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FFVZ,Wings Over Kississing,0,"Kaskattama Airstrip, MB",sub
245,21 Feb 2021,Beechcraft 200 Super King Air,,private,0,"San Andrés, Petén",w/o
246,21 Feb 2021,Learjet 45XR,3912,Fuerza Aérea Mexicana,6,near Xalapa Airport (JAL),w/o
247,21 Feb 2021,Beechcraft B300 King Air 350,NAF201,Nigerian Air Force - NAF,7,NE of Abuja-Nnamdi Azikiwe International Airport (ABV),w/o
248,26 Feb 2021,Antonov An-2T,UP-A0351,Asia Continental Airlines,0,near Boraldai,sub
249,28 Feb 2021,Douglas DC-3C,HK-2006,ALIANSA Colombia,0,Monfort Airport (MFB),sub
250,1 Mar 2021,ATR 72-500 (72-212A),7T-VUK,Air Algérie,0,Ghardaïa-Noumérat Airport (GHA),unk
251,1 Mar 2021,Beechcraft B300 King Air 350i,B-10GD,"Beidahuang General Airlines, opf China Met, Administration",5,"Shanghu, Ji'an County",w/o
252,2 Mar 2021,Let L-410UVP-E,(HK-4274),South Sudan Supreme Airlines,10,Pieri,w/o
253,4 Mar 2021,Fokker 100,EP-CFM,Iran Air,0,Isfahan Airport,non
254,7 Mar 2021,Embraer EMB-120ER Brasilia,N233SW,Berry Aviation,0,"Detroit-Willow Run Airport, MI (YIP)",sub
255,10 Mar 2021,Cessna 208B Grand Caravan,PK-MAD,Mission Aviation Fellowship - MAF,0,Angguruk Airstrip,sub
256,12 Mar 2021,Cessna 208B Grand Caravan,N407GV,Grant Aviation,0,"Chevak Airport, AK (VAK)",sub
257,13 Mar 2021,Antonov An-26,02 white,Kazakhstan Border Guards,4,Almaty Airport (ALA),w/o
258,15 Mar 2021,Boeing 777-223ER,N789AN,American Airlines,0,"Fort Worth, Texas",non
259,16 Mar 2021,Bombardier CRJ-701ER,N706SK,Skywest Airlines,0,"Los Angeles International Airport, CA (LAX/KLAX)",non
260,18 Mar 2021,Airbus A320-232,XA-VAZ,Viva Aerobus,0,Puerto Vallarta-Gustavo D. Ordaz Airport (PVR),sub
261,19 Mar 2021,Antonov An-2T,YV3312,Venezuela Flight Canaima,0,Kapaure,sub
262,20 Mar 2021,Cessna 208B Grand Caravan,5Y-JKN,Aeronav Air Services,2,"3,5 km SW of Marsabit Airport (RBT)",w/o
263,20 Mar 2021,Boeing 737-4Y0,PK-YSF,Trigana Air Service,0,Jakarta-Halim Perdana Kusuma Airport (HLP),sub
264,23 Mar 2021,Saab 340AF,SP-KPU,SprintAir,0,Gdansk-Lech Walesa Airport (GDN),sub
265,25 Mar 2021,Embraer,,Mauritania Airlines International,0,Nouakchott-Oumtounsy International Airport (NKC),non
266,26 Mar 2021,Beechcraft B200 Super King Air,5Y-NJS,West Wind Aviation Ltd.,0,Nairobi,w/o
267,28 Mar 2021,Embraer EMB-145LR,N650AE,"American Eagle , opb Piedmont Airlines",0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",non
268,2 Apr 2021,Boeing 737-8AS (WL),9H-QCJ,Malta Air,0,Malta-Luqa Airport (MLA),min
269,3 Apr 2021,Cessna 208B Grand Caravan,N215MC,Everts Air Cargo,0,"Fairbanks International Airport, AK (FAI/PAFA)",sub
270,8 Apr 2021,Antonov An-2,RA-40...,Unknown,0,Omsk,w/o
271,9 Apr 2021,Boeing C-17A Globemaster III,10-0223,United States Air Force - USAF,0,"Charleston AFB, SC (CHS)",sub
272,14 Apr 2021,Cessna 525A CitationJet CJ2+,JA001T,private,0,"3,7 km W of Osaka/Yao Airport (RJOY)",sub
273,15 Apr 2021,Learjet 35A,N354EF,Med Air Inc,0,"Colorado Springs Airport, CO (COS/KCOS)",sub
274,16 Apr 2021,Beechcraft B99 Airliner,N991AK,Lake Clark Air,0,"Chignik-Lagoon Airport, AK (KCL)",sub
275,18 Apr 2021,Learjet 25B,XB-PIZ,Unknown,0,Toluca-Licenciado Adolfo López Mateos International Airport (TLC),sub
276,20 Apr 2021,Learjet 35A,PR-MLA,Eletric Power Construção,1,"Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport, MG (PLU)",w/o
277,26 Apr 2021,Cessna 208B Grand Caravan EX,N143CA,Haugland Group Aviation LLC,0,"near Laceyville, PA",sub
278,1 May 2021,Cessna 550 Citation II,N803SC,STB Aviation LLC,0,"Charleston Executive Airport, SC (KJZI)",sub
279,5 May 2021,Gulfstream G150,N22ST,TLD Aviation I LLC,0,"Ridgeland Airport, SC",sub
280,6 May 2021,Beechcraft B200GT King Air 250,VT-MPQ,Government of Madhya Pradesh,0,Gwalior Airport (GWL),sub
281,10 May 2021,ATR 72-600 (72-212A),B-17010,Uni Air,0,Nangang Island-Matsu Nangan Airport (LZN),sub
282,12 May 2021,Boeing 737-8AS (WL),EI-EGA,Ryanair,0,Alicante Airport (ALC/LEAL),non
283,12 May 2021,Swearingen SA226-TC Metro II,N280KL,Key Lime Air,0,"5,9km N of Denver-Centennial Airport, CO (APA)",sub
284,13 May 2021,Cessna 208B Grand Caravan,CC-DBB,Skydive Andes,0,Melipilla-Los Cuatro Diablos Airport (SCME),unk
285,19 May 2021,Hawker 800,XB-R..,private,0,"Sayaxché, Petén",w/o
286,20 May 2021,IAI 1125 Astra,N388WA,private,0,"Parque Laguna del Tigre, San Andrés, Petén",sub
287,21 May 2021,Boeing 737-7H4,N289CT,Southwest Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",min
288,21 May 2021,Antonov An-2R,RA-33373,Utair,0,Laytamak Airstrip,sub
289,21 May 2021,Beechcraft B300 King Air 350i,NAF203,Nigerian Air Force - NAF,11,near Kaduna Airport (KAD),w/o
290,28 May 2021,Boeing 767-38E,HL7528,Asiana Airlines,0,"over Yesan , Chungcheongnam-do",non
291,28 May 2021,Boeing 737-823 (WL),N834NN,American Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub
292,29 May 2021,Cessna 501 Citation I/SP,N66BK,JL&GL Productions LP,7,"near Smyrna Airport, TN (MQY)",w/o
293,30 May 2021,ATR 72-500 (72-212A),SX-THR,Sky Express,0,Alexandroupolis-Demokritos Airport (AXD),sub
294,2 Jun 2021,Beechcraft 1900C,N219VP,Alpine Air Express,0,"Denver International Airport, CO (DEN/KDEN)",sub
295,3 Jun 2021,Cessna 208B Grand Caravan EX,PK-DPT,Dabi Air Nusantara,0,Ilaga Airport (ILA),w/o
296,4 Jun 2021,Honda HA-420 HondaJet,N10XN,GF Aviation LLC,0,"Atlanta-Cobb County-Mc Collum Field, GA (KRYY)",sub
297,5 Jun 2021,Cessna 208B Supervan 900,N103AN,Paraclub Wiener Neustadt,0,Wiener Neustadt West Air Base,sub
298,7 Jun 2021,Boeing 737-8AL (WL),VT-TGE,Vistara,0,W of Kolkata,non
299,10 Jun 2021,Beechcraft 1900D,4610,Tatmadaw Lei (Myanmar Air Force),12,near Pyin Oo Lwin,w/o
300,13 Jun 2021,Boeing 737-8AS (WL),EI-EVE,Ryanair,0,Málaga-Costa del Sol Airport (AGP/LEMG),non
301,14 Jun 2021,ATR 72-600 (72-212A),VT-IYX,IndiGo Airlines,0,Hubli Airport (HBX),sub
302,16 Jun 2021,Let L-410UVP-E,9S-GRJ,Kin Avia,3,near Bukavu-Kavumu Airport (BKY),w/o
303,18 Jun 2021,Boeing 787-8 Dreamliner,G-ZBJB,British Airways,0,London Heathrow Airport (LHR),sub
304,19 Jun 2021,Let L-410UVP-E,RF-94603,DOSAAF,5,near Tanay Airfield,w/o
305,21 Jun 2021,Rockwell Sabreliner 65,XB-OXV,private,0,within Jesús María Semprún,w/o
306,23 Jun 2021,Gulfstream G280,M-ISTY,INEOS Aviation,0,Genève-Cointrin Airport (GVA/LSGG),sub
307,23 Jun 2021,Lockheed L-100-30 Hercules,,Ethiopian Air Force,,near Gijet,w/o
308,24 Jun 2021,Antonov An-2R,RA-01430,private,0,"3,5 km W of Zaboyskiy, Slavyansky district",sub
309,25 Jun 2021,Airbus A321-231,N926UW,American Airlines,0,"New Orleans, Louisiana",non
310,25 Jun 2021,Shorts 360-300,N970AA,Air Cargo Carriers,0,"Las Vegas-McCarran International Airport, NV (LAS)",sub
311,25 Jun 2021,Cessna 208B Supervan 900,PH-FST,Skydive Teuge,0,2 km W of Teuge Airport,sub
312,29 Jun 2021,Airbus A350-941,F-HTYH,Air France,0,Paris-Charles de Gaulle Airport (CDG/LFPG),non
313,1 Jul 2021,Convair CV-580 Airtanker,C-FKFL,Conair,0,"Penticton Airport, BC (YYF)",sub
314,1 Jul 2021,Convair CV-580 Airtanker,C-FHKF,Conair,0,"Penticton Airport, BC (YYF)",min
315,2 Jul 2021,Boeing 737-275C Adv.,N810TA,Transair (Cargo),0,"9 km WSW off Honolulu-Daniel K. Inouye International Airport, HI (HNL)",w/o
316,2 Jul 2021,Cessna 750 Citation X,SX-ECI,Hellenic CAA,0,Paphos International Airport (PFO/LCPH),sub
317,4 Jul 2021,Airbus A321-231,N156AN,American Airlines,0,"Miami, Florida",non
318,4 Jul 2021,Antonov An-2R,UP-A0135,ELISA,0,"12 km from Karaultobe, Kyzylorda",sub
319,4 Jul 2021,Lockheed C-130H Hercules,5125,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),50+3,"Patikul, Sulu",w/o
320,5 Jul 2021,IAI 1124A Westwind II,N790JR,Transenergie Inc,2,near Treasure Cay Airport (TCB),w/o
321,6 Jul 2021,ATR 42-320,C-GLDE,Transwest Air,0,"120 nm from Saskatoon, SK",non
322,6 Jul 2021,Antonov An-26B-100,RA-26085,Kamchatka Aviation Enterprise,28,"3,8 km NW of Palana Airport",w/o
323,7 Jul 2021,Cessna 208B Grand Caravan,,Ryan Air,0,"near Aniak Airport, AK (ANI)",non
324,8 Jul 2021,Douglas DC-3C,HK-2820,ALIANSA Colombia,3,"13,5 km N of Villavicencio-La Vanguardia Airport (VVC)",w/o
325,11 Jul 2021,Airbus A320-214,D-AICP,Condor Flugdienst,0,Kavala-Megas Alexandros Airport (KVA),sub
326,11 Jul 2021,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FLLL,Northwestern Air,0,"31,5 km ENE of Fort Smith, NT",sub
327,11 Jul 2021,Cessna 208 Caravan I,C-GUAY,Air Tunilik,0,"Rex North Mining Camp, QC",sub
328,14 Jul 2021,Cessna 208B Grand Caravan EX,8R-ABK,Jags Aviation,0,Eteringbang Airport (SYET),sub
329,15 Jul 2021,de Havilland Canada DHC-3T Vazar Turbine Otter,C-GUTW,Harbour Air,0,"Ganges Harbor Airport, BC (YGG)",sub
330,15 Jul 2021,Cessna 208 Caravan I,C-GIGO,Seair Seaplanes,0,"Ganges Harbor Airport, BC (YGG)",sub
331,16 Jul 2021,Antonov An-28,RA-28728,SiLA - Siberian Light Aviation,0,52 km SE of Kedrovo,sub
332,17 Jul 2021,Cessna 208B Supervan 900,G-OJMP,GoSkydive,0,Old Sarum Airfield,sub
333,18 Jul 2021,ATR 72-500 (72-212A),EC-MSN,"Air Europa Express, opb Aeronova",0,Madrid-Barajas Adolfo Suárez Airport (MAD),sub
334,20 Jul 2021,British Aerospace BAe-125-700A,N611MC,private,0,"Jesús María Semprún, Zulia",w/o
335,21 Jul 2021,Cessna 560XL Citation Excel,N46CF,PV Transport Inc,0,"Reading Regional Airport/Spaatz Field, PA (RDG)",sub
336,21 Jul 2021,de Havilland Canada DHC-8-106,5Y-GRS,Skyward Express,0,Burahache Airstrip,sub
337,22 Jul 2021,Airbus A321-211,N376DN,Delta Air Lines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",non
338,25 Jul 2021,Boeing 737-8JP (WL),SE-RPE,Norwegian Air Sweden,0,near Nice Airport,non
339,26 Jul 2021,Bombardier CL-600-2B16 Challenger 605,N605TR,Aeolus Air Charter,6,"Truckee Airport, CA (TKF)",w/o
340,26 Jul 2021,Cessna 208 Supervan 900,D-FLEC,Skydive Binz,1,S off Norderney Airfield (NRD),w/o
341,27 Jul 2021,Cessna 208B Grand Caravan,ET-AMI,"Abyssinian Flight Services, opf UNWorld Food Programme",0,near Kombolcha,w/o
342,31 Jul 2021,Boeing 737-8AS (WL),EI-EPC,Ryanair,0,near Barcelona-El Prat Josep Tarradellas Airport (BCN/LEBL),non
343,3 Aug 2021,Airbus A300B4-622R (F),D-AEAE,European Air Transport,0,Lagos-Murtala Muhammed International Airport (LOS),sub
344,9 Aug 2021,Gulfstream American G-1159A Gulfstream III,XB-OZA,private,0,within Jesús María Semprún,w/o
345,11 Aug 2021,McDonnell Douglas MD-11F,N296UP,United Parcel Service - UPS,0,"Phoenix-Sky Harbor International Airport, AZ (PHX)",sub
346,12 Aug 2021,Shijiazhuang Y-5B(D),B-8440,Northeast General Aviation Co.,0,"Nengbei Farm, Heilongjiang Province",w/o
